"id";"parent_id";"level";"objectid";"objecttype";"querystatus";"querytime";"querytype";"message"
"11358";"None";"0";"linkspartei";"seed";"";"None";"None";""
"11359";"11358";"1";"47694585682_10153716805250683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"DIE LINKE fordert die Wiedereinführung der #Vermögensteuer, und zwar in der Form der #Millionärsteuer. Sie soll gezielt Vermögensmillionäre treffen. Dies wird durch einen Freibetrag von einer Million Euro erreicht. Steuerpflichtig ist dabei ausschließlich das Privatvermögen. Wer weniger als eine Million Euro Vermögen hat, zahlt keine Steuer. Damit ist zugleich gewährleistet, dass beispielsweise das selbstgenutzte Eigenheim von der Steuer befreit bleibt. Der Teil des Privatvermögens von Millionären, der oberhalb von einer Million Euro liegt, soll mit fünf Prozent besteuert werden."
"11360";"11358";"1";"47694585682_10153711527480683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Deutschland befindet sich im Krieg fast überall auf der Welt. Die Bundesregierung betreibt eine Politik der Aufrüstung. Deutsche Konzerne exportieren Waffen in alle Welt. 
DIE LINKE wird niemals einer deutschen Beteiligung an einem Krieg zustimmen. Krieg löst kein Problem, er ist immer Teil des Problems. Die Menschen in unserem Land wollen keine Kriege und Aufrüstung – sie wollen Frieden! Geht am Samstag mit uns auf die Straße: http://friedensdemo.org/"
"11361";"11358";"1";"47694585682_10153709508245683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Jetzt unterschreiben: https://www.die-linke.de/nc/100000/
Herr Gesundheitsminister Gröhe,
in deutschen Krankenhäusern fehlen 100 000 Pflegekräfte. Die Folgen sind bekannt: fehlende Zuwendung, mangelnde Hygiene, mehr Unfälle.
Wir fordern Sie auf: Handeln Sie! Die Bundesregierung muss dringend per Gesetz festlegen, wie viele Pflegekräfte für wie viele Patienten und Patientinnen vorhanden sein müssen.
#Dasmussdrinsein"
"11362";"11358";"1";"47694585682_10153705130170683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Schlecht bezahlte Jobs, Leiharbeit und sachgrundlose Befristungen verschwinden nicht von alleine. Aber die Streiks des Jahres 2015 gegen diese und andere Zumutungen im Arbeitsleben stießen sowohl auf große Aufmerksamkeit, als auch auf massiven Widerstand der Unternehmerinnen und Unternehmer. Das Durchhaltevermögen der Aktiven in diesen - wie in zahlreichen kleineren Konflikten - stimmt hingegen hoffnungsfroh. Bei der Konferenz ""Erneuerung durch Steik"" der Rosa-Luxemburg-Stiftung​ kamen am Wochenende über 500 Kolleginnen und Kollegen zusammen, um gemeinsam zu beraten, wie sich solidarisch gegen die Zumutungen des Kapitals und dem Versuch die Belegschaften in Menschen mit und ohne deutschen Pass zu spalten, entgegen getreten werden kann. In diesen Stunden ging die Konferenz mit einem klaren Bekenntnis gegen Rassismus zu Ende. (Fotos: Nils Schmdit)"
"11363";"11358";"1";"47694585682_10153697456595683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Von der Metall- und Elektroindustrie über die Bahn bis zu den Kitas und der Post: Die Streiks des Jahres 2015 stießen auf große Aufmerksamkeit, aber auch auf massiven Widerstand der Unternehmer. Um diese Auseinandersetzungen zu gewinnen, bedarf es großer Anstrengungen und neuer Strategien. Die Rosa-Luxemburg-Stiftung diskutiert an diesem Wochenende unter dem Titel: ""Gemeinsam gewinnen! Beteiligung organisieren, prekäre Beschäftigung überwinden, Durchsetzungsfähigkeit stärken. Erneuerung durch Streik III"" Mit dabei auch unser Parteivorsitzender Bernd Riexinger
http://www.rosalux.de/event/55617/gemeinsam-gewinnen.html"
"11364";"11358";"1";"47694585682_10153697528525683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"100 000 Pflegekräfte mehr! Das muss drin sein. Macht mit und unterzeichnet hier: https://www.die-linke.de/nc/100000/
Heute waren Katja Kipping und Bernd Riexinger vor Ort: Im Urbankrankenhaus in Berlin-Kreuzberg informierten sich die Parteivorsitzenden bei den Beschäftigten und Gewerkschaftsaktiven über die Auswirkungen des Personalmangels und berieten über gemeinsame Möglichkeiten des Widerstands wie die Kampagne der LINKEN oder die Kampagne ""Zusammenstehen"" von ver.di."
"11365";"11358";"1";"47694585682_10153695092525683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"""Angeblich soll VW-Chef Winterkorn zugestimmt haben, die Abgasmanipulation nicht vollständig offen zu legen. Ein solch unverantwortliches Verhalten, treibt mir die Wut hoch. Er verdiente als VW-Chef über 15 Millionen Euro und ist bestens abgesichert, während normale Beschäftigte um ihre Jobs fürchten. Aber wir müssen endlich vom vom Zustand der Empörung über die Wucher-Gehälter der Manager in den Zustand des Handelns wechseln. Wir brauchen nicht nur einen Mindestlohn, sondern auch einen Höchstlohn für Manager. Deren Dreistigkeit braucht eine Obergrenze. DIE LINKE fordert daher: Beim 20fachen des niedrigsten Einkommen im Betrieb ist Schluss. Manager, die eine Million Euro verdienen wollen, müssen auch ihrer Pförtnerin oder der Reinigungskraft 50.000 EUR zahlen."" Katja Kipping"
"11366";"11358";"1";"47694585682_10153693278900683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Heute wieder ab 18 Uhr live aus dem Karl-Liebknecht-Haus: 
GeDRUCKtes
Dr. Gesine Lötzsch​ im Gespräch mit Katja Kipping über ihr Buch ""Wer flüchtet schon freiwillig?""
www.die-linke.de/livestream"
"11367";"11358";"1";"47694585682_10153691044780683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Wer sich nicht traut, die reichsten Sprösslinge mit einer vernünftigen Erbschaftsteuer an der Finanzierung des Gemeinwohls zu beteiligen, der hat auch keinen Mut, Steuerflucht wirksam einzudämmen oder die fortschreitende Spaltung der Gesellschaft zwischen der Mitte und den Superreichen durch eine sozial gerechte Politik zu verhindern. So Bernd Riexinger zu den Steuerplänen der SPD in der heutigen Pressekonferenz."
"11368";"11358";"1";"47694585682_10153682930085683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Katja Kipping redet Klartext bei Maybrit Illner: ""Aus meiner Partei hat niemand für die Verschärfung des Asylrechts gestimmt - ganz im Gegensatz zu allen anderen Parteien im Bundestag. Und Sahra Wagenknecht nennt Nazis auch Nazis. Sie, Herr Scheuer, reden ihnen nach dem Mund. Und das ist ein großer Unterschied."""
"11369";"11358";"1";"47694585682_10153680676130683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Auch in Zukunft werden reiche Erben verschont und müssen sich nicht an der Finanzierung des Gemeinwohls beteiligen. Der Kompromiss im Vermittlungsausschuss zur Erbschaftsteuer ist ein Kniefall von SPD und Union vor den reichsten Sprösslingen in diesem Land. Soziale Ungerechtigkeit wird weiter vererbt. Dass die SPD diese Bevorzugung von Superreichen mitmacht, ist jämmerlich. Offensichtlich haben SPD und Union nicht den Willen, für mehr soziale Gerechtigkeit zu sorgen. DIE LINKE hingegen wird keiner Erbschaftssteuerreform zustimmen, die nicht zu einer gerechten Besteuerung und mehr sozialer Gerechtigkeit führt."
"11370";"11358";"1";"47694585682_10153674053320683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Die SPD lässt sich von Gabriel für dumm verkaufen und stimmt für CETA! #SPDKonvent
Gabriel muss sich entscheiden, ob er als Wirtschaftsminister den Konzernen oder als SPD-Vorsitzender den Interessen der Bürgerinnen und Bürgern dienen möchte. Mindestens einen dieser beiden Jobs wird er im kommenden Jahr verlieren - wenn er weiter so rum eiert vielleicht auch beide. 
Ein paar mit heißer Nadel gestrickte Klarstellungen werden nicht ausreichen, um CETA zu einem guten und soliden Abkommen zu machen. All seine Tricks können nicht darüber hinwegtäuschen: Nicht nur TTIP, auch CETA kann nicht akzeptiert werden. Karikatur Klaus Stuttmann"
"11371";"11358";"1";"47694585682_10153674105830683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Kindergelderhöhung von zwei Euro, erneute Verschärfung der Hartz-IV-Regeln, steigende Altersarmut - da läuft doch tatsächlich was schief! Über Alternativen wird nur noch von rechts diskutiert. Das halte ich für ein Problem. Ich würde mir wünschen, dass innerhalb des politischen Systems auch über Alternativen von links diskutiert wird. Klaus Lederer über die Ergebnisse der Berlinwahl und politische Perspektiven. DIE LINKE. Berlin"
"11372";"11358";"1";"47694585682_10153672005460683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Ein guter Tag für Berlin, ein guter Tag für DIE LINKE — Statement der Parteivorsitzenden Katja Kipping und Bernd Riexinger."
"11373";"11358";"1";"47694585682_10153671859560683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Wahlparty der LINKEN in Berlin — 18 Uhr Prognose und Statement des Spitzenkandidaten Klaus Lederer"
"11374";"11358";"1";"47694585682_10153671171755683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Guten Morgen Berlin! Heute schon gewählt?"
"11375";"11358";"1";"47694585682_10153669617585683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Wir haben heute zusammen mit 320.000 Menschen in sieben Städten gegen CETA und TTIP demonstriert. Hier einige Impressionen aus Berlin. #StopCetaTTIP"
"11376";"11358";"1";"47694585682_10153664113490683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Wer CETA sagt, meint TTIP!
Die CETA-Befürworter behaupten, dass alles, was an TTIP kritisiert werde, bei CETA längst gelöst sei. Doch das stimmt nicht! CETA ist TTIP durch die Hintertür. Lasst Euch nicht durch Ablenkungsmanöver täuschen und geht heute bundesweit gegen TTIP und CETA auf die Straße. In Hamburg, Berlin, Leipzig, Köln, Frankfurt, Stuttgart oder München. Alle Infos findet Ihr hier: https://www.die-linke.de/politik/aktionen/ttip-und-ceta-stoppen/"
"11377";"11358";"1";"47694585682_10153666882160683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Jetzt live aus Berlin: Klaus Lederer und Gregor Gysi auf dem Wahlkampfabschluss von DIE LINKE. Berlin."
"11378";"11358";"1";"47694585682_10153666174425683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"Am Sonntag wird in Berlin gewählt - wen, das ist ja klar! :-)
Heute sehen wir uns ab 15 Uhr auf dem Alexanderplatz zum Wahlkampfabschluss: https://www.facebook.com/events/1074381309277193/"
"11379";"11358";"1";"47694585682_10153664519680683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"TTIP und CETA stoppen!
Soziale Gerechtigkeit, Demokratie sowie Umwelt- und Verbraucherschutz gehen für uns vor Profitinteressen der Konzerne. DIE LINKE mobilisiert deshalb zusammen mit sozialen Bewegungen, Kirchen und Gewerkschaften unter dem Motto: ""CETA & TTIP STOPPEN! Für einen gerechten Welthandel!"" zu den bundesweiten Protesten in sieben Städten am kommenden Samstag, den 17. September. Bundesweit werden mehr als 250 000 Teilnehmer erwartet. Bernd Riexinger"
"11380";"11358";"1";"47694585682_10153657713675683";"data";"fetched (200)";"2016-10-09 20:03:28.423000";"Facebook:<user>/posts";"In der Türkei wurden 28 Bürgermeister abgesetz, in Gewahrsam genommen und durch regierungskonforme Statthalter ersetzt. Damit wurde eine weitere rote Linie überschritten. In vielen Regionen gab es Proteste, die mit Wasserwerfern und Tränengas bekämpft wurden. Beim EU-Gipfel am Freitag müssen die Staats- und Regierungschefs endlich die Beitrittsverhandlungen mit der Türkei stoppen und den dreckigen Deal mit Erdogan zur Flüchtlingspolitik beenden. DIE LINKE fordert von der Bundesregierung ein Ende der militärischen, polizeilichen und geheimdienstlichen Zusammenarbeit mit der Türkei und einen Abzug der Bundeswehr.  Tobias Pflüger"
