"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"message"
"0";"1";"";"SPD";"seed";"";"";"";""
"1";"2";"1";"47930567748_10153998742192749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Die sexistischen Äußerungen des US-Präsidentschaftskandidaten Donald J. Trump sind vollkommen inakzeptabel. Sie zeigen, dass #Sexismus auf allen Ebenen unserer Gesellschaft existiert. Sexismus muss aus der Dunkelheit des Schweigens ans Tageslicht gezerrt werden, damit öffentlich sichtbar wird wie abscheulich diese Vergehen sind."
"1";"3";"1";"47930567748_10153993754512749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Lange haben wir dafür gekämpft. Jetzt sind wir auch von Anfang an als Vertragspartei dabei. Deutschland ist diese Woche dem Pariser Klimaschutzabkommen offiziell beigetreten. Damit kann das Abkommen am 4. November in Kraft treten. #COP22"
"1";"4";"1";"47930567748_10153993665912749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Minister Heiko Maas kontert #AfD-Vize Gauland bei Illner aus. Anschauen und teilen."
"1";"5";"1";"47930567748_10153991859362749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Die Blockade der Union ist durchbrochen – die SPD hat sich durchgesetzt. Es wird ein Gesetz für mehr #Lohngerechtigkeit geben. Frauenministerin Manuela Schwesig: „Damit gelingt uns ein weiterer Schritt hin zu mehr Gerechtigkeit in unserer Gesellschaft.“ Auch für #Familien und ihre #Kinder - und besonders für #Alleinerziehende - konnten wir Verbesserungen durchsetzen. Gerne teilen: http://spdlink.de/endlichlohngerechtigkeit"
"1";"6";"1";"47930567748_10153975881637749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"„Von Rechten habe ich mich noch nie einschüchtern lassen!“: SPD-Vize Ralf Stegner bietet einem rechten Brüllmob bei einer Podiumsdiskussion mit der #AfD eindrucksvoll Paroli. Zeig Haltung gegen Rechts: http://www.stimmefuervernunft.de #StimmeFuerVernunft"
"1";"7";"1";"47930567748_10153986495982749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Liebe Lehrerinnen und Lehrer, ihr macht einen tollen Job! Wir finden, es ist Zeit, sich auch mal bei euch zu bedanken. Neben Worten zählen Taten: Deshalb schieben wir ein milliardenschweres Programm zur Sanierung, Modernisierung und besseren Ausstattung von Schulen an: http://spdlink.de/Schulmodernisierung #TagDesLehrers #Weltlehrertag"
"1";"8";"1";"47930567748_10153986240557749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Nein #Pegida, du bist nicht das Volk! Dein Hass ist unser Ansporn. Klare Worte vom Chef der SPD Sachsen Martin Dulig zu den Hasspöblern beim Einheitsfest in #Dresden: http://www.mdr.de/nachrichten/politik/regional/dulig-bezeichnet-pegida-als-hasssekte100.html #TdDE2016"
"1";"9";"1";"47930567748_10153983368897749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Wir haben viel erreicht in den letzten 26 Jahren Deutscher Einheit. Doch die gemeinsamen Anstrengungen sind noch nicht am Ende. Gerade das vergangene Jahr hat uns gezeigt, welche Herausforderungen noch auf uns warten und dass wir alle Menschen in diesem Land mitnehmen müssen. Nur gemeinsam sind wir Deutschland. Die Sozialdemokratie hat das große Ganze im Blick. Integration gelingt nur gemeinsam. So wie uns die Deutsche Einheit nur gemeinsam gelingen konnte >> https://www.spd.de/standpunkte/solidarprojekt-fuer-deutschland/"
"1";"10";"1";"47930567748_10153976731542749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"In unserer Mitte ist auch Platz für dich. Du darfst >> https://eintreten.spd.de #Weltvegetariertag"
"1";"11";"1";"47930567748_10153975978882749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Wir gratulieren der International Union of Socialist Youth (IUSY) zum 70. Geburtstag. Stay young!"
"1";"12";"1";"47930567748_10153973756857749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"""Vernunft ist kein natürlich nachwachsender Rohstoff. Unvernunft dagegen - Hass, Neid, Missgunst, Fremdenfeindlichkeit, Antisemitismus - all das wächst jederzeit nach"": Schriftsteller Tilman Spengler ruft in seinem eindringlichen Plädoyer für #StimmefürVernunft dazu auf, den hetzerischen Unvernünftlern von #AfD und #Pegida nicht das Feld zu überlassen. Mach mit und nutze auch Du Deine Stimme für Vernunft: http://stimmefuervernunft.de/"
"1";"13";"1";"47930567748_10153974061242749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Dem können wir uns nur anschließen: Vielen Dank für alles, Peer Steinbrück. Glück auf und bis bald!"
"1";"14";"1";"47930567748_10153973499602749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Gerhard Schröder über Helmut Schmidt. Jetzt live im Willy-Brandt-Haus."
"1";"15";"1";"47930567748_10153973370672749";"data";"fetched (200)";"2016-10-09 19:31:26.277000";"Facebook:<user>/posts";"Vor 75 Jahren brachten Nazis an der Schlucht von Babyn Jar 33771 Juden um. Die Mordbefehle wurden in unserer Sprache gegeben. Wir dürfen niemals vergessen. #Babijar #Babynjar"
